cell,ecc,ep,frame,mass,mov_name,nucleus,particle,pid,raw_mass,signal,size,strain,x,y,corrwideal,gene,date
25,0.2837476810808159,0.0024008341566599664,0,1531.9808453225269,08152019_TL47_9,25,160844,08152019_TL47_9_160844_0,12134.0,353.78647254594813,0.8769640783806459,TL47,955.9678133420236,1904.063920262612,0.8351580660731389,gal10,08152019
26,0.25419599778131463,0.007047162038423963,0,495.6079131400956,08152019_TL47_9,0,161273,08152019_TL47_9_161273_0,4574.0,110.73445357286656,0.8812312018641314,TL47,1128.020588921784,1909.014090389789,0.9389562410148818,gal10,08152019
27,0.2886736512932813,0.003902381492897663,0,830.3561936735982,08152019_TL47_9,27,164990,08152019_TL47_9_164990_0,7722.0,191.70917495614816,0.8769972466015012,TL47,814.9591230707189,1954.018799721377,0.8762482468132909,gal10,08152019
2,0.3166124140956986,0.007605081110340739,0,321.5601856471712,08152019_TL47_8,2,20075,08152019_TL47_8_20075_0,3315.0,71.98476451315534,0.8809875497629919,TL47,1473.9966961779314,241.00783847980998,0.8225208918800506,gal10,08152019
3,0.3250743713955306,0.02134767128385815,0,111.09484323605948,08152019_TL47_8,3,20999,08152019_TL47_8_20999_0,1605.0,25.89979469799068,0.8757098347147197,TL47,1397.9487483983874,251.98740585643296,0.6006101007338547,gal10,08152019
6,0.2562523393088825,0.00337855605330189,0,658.0387919132787,08152019_TL47_8,6,25348,08152019_TL47_8_25348_0,6638.0,147.87185734273712,0.8805021189592563,TL47,1424.9856597920193,303.98928441412494,0.7246222634071422,gal10,08152019
4,0.2448251646891217,0.006104428492616841,0,405.4810753844139,08152019_TL47_8,0,25693,08152019_TL47_8_25693_0,3968.0,94.01347729582972,0.8764378848406609,TL47,1635.9679515720254,307.98443386533324,0.840552134495224,gal10,08152019
5,0.3150270238294837,0.008437277022222729,0,306.8917362371162,08152019_TL47_8,5,26339,08152019_TL47_8_26339_0,3053.0,71.78687063945755,0.8752622775648286,TL47,1571.955687538888,316.06293342383617,0.8870736732616626,gal10,08152019
7,0.2964461332075001,0.010847532144163336,0,206.81298530356662,08152019_TL47_8,7,28576,08152019_TL47_8_28576_0,2521.0,51.48365356253403,0.8666382139544054,TL47,1490.974802330071,343.0665614665346,0.4344054452290823,gal10,08152019
7,0.2972087455069346,0.0063700639324502685,0,357.6706098634984,08152019_TL47_8,7,29084,08152019_TL47_8_29084_0,3830.0,82.16414763038169,0.8776558812294657,TL47,1487.0045718834024,349.04309800914376,0.8582739353558212,gal10,08152019
10,0.3683896593277701,0.007390838229338934,0,329.67383446878034,08152019_TL47_8,10,33312,08152019_TL47_8_33312_0,3392.0,73.5679155027376,0.8813888824109105,TL47,1615.9836557599756,398.9656160156703,0.8109070533703622,gal10,08152019
9,0.2748549637585647,0.009329592880622798,0,249.8670542110441,08152019_TL47_8,9,33483,08152019_TL47_8_33483_0,2824.0,57.767652008025074,0.8768160851231853,TL47,1955.9835209114908,400.9861192163401,0.8435453042245648,gal10,08152019
13,0.276020289625261,0.01019087056717057,0,232.5739071077343,08152019_TL47_8,13,38863,08152019_TL47_8_38863_0,2641.0,53.24733931408621,0.8780956461315836,TL47,43.003463255161286,466.0357372105868,0.8818066873133401,gal10,08152019
14,0.23034799614919224,0.003637073760336201,0,723.9964728345157,08152019_TL47_8,14,43284,08152019_TL47_8_43284_0,6213.0,164.80740674445278,0.8788426203296776,TL47,1505.9904764188266,517.968719879157,0.7608676500475072,gal10,08152019
15,0.3155738884328689,0.006069580687547433,0,471.51166457490785,08152019_TL47_8,15,44622,08152019_TL47_8_44622_0,3987.0,109.59154416042546,0.8761130378671004,TL47,1399.962757066806,533.9879170317573,0.7567311037435333,gal10,08152019
16,0.2430709888338433,0.006304460915006334,0,350.24785368865867,08152019_TL47_8,16,63183,08152019_TL47_8_63183_0,3863.0,78.42499496419725,0.8809580866655494,TL47,233.9801354043793,754.0339601320343,0.8203311892835871,gal10,08152019
17,0.3051402059313407,0.004494892211681286,0,551.4017685689379,08152019_TL47_8,17,65103,08152019_TL47_8_65103_0,5153.0,124.87103430330171,0.8795106198192749,TL47,1803.9728249234995,776.0258465451891,0.8530747141570467,gal10,08152019
18,0.3105093729692308,0.003936896524717912,0,675.6860648958374,08152019_TL47_8,18,70219,08152019_TL47_8_70219_0,5790.0,156.92984184234277,0.8762119636251703,TL47,327.938623985202,836.9957250025691,0.767962150446481,gal10,08152019
19,0.2528334397847205,0.009235755488842477,0,301.88536841479674,08152019_TL47_8,0,85766,08152019_TL47_8_85766_0,2846.0,68.15881628833151,0.8798993442580061,TL47,1572.023357445977,1020.0008280335353,0.8935851716984525,gal10,08152019
20,0.3521092486243418,0.008419694273769651,0,319.21323374156236,08152019_TL47_8,0,86104,08152019_TL47_8_86104_0,3058.0,76.67519650202738,0.8716647538700313,TL47,1623.0559470982337,1023.9442377969199,0.8699925900890401,gal10,08152019
21,0.3286905453557533,0.0030136503240750147,0,860.5675484424057,08152019_TL47_8,21,91527,08152019_TL47_8_91527_0,7362.0,197.27936114261726,0.8779274918052997,TL47,1665.9743940420865,1087.9660308546347,0.8320046752037059,gal10,08152019
22,0.35043794581715576,0.005817869074500121,0,442.9698130719345,08152019_TL47_8,0,94763,08152019_TL47_8_94763_0,4131.0,101.29388875450084,0.8782539732556327,TL47,1558.014523081746,1127.0390077592288,0.9177734976049288,gal10,08152019
23,0.2446894685156749,0.005254894229147049,0,473.7718209218773,08152019_TL47_8,0,108209,08152019_TL47_8_108209_0,4503.0,109.46308673363916,0.8769002192488154,TL47,59.99246676730518,1286.04444460729,0.7250553682400409,gal10,08152019
25,0.25025900584786503,0.003101085571169077,0,835.1225624716852,08152019_TL47_8,25,116503,08152019_TL47_8_116503_0,7173.0,191.71055810031467,0.877747237166193,TL47,1844.0272217441373,1382.0212851756235,0.9516197170035822,gal10,08152019
26,0.30510307176644363,0.005091974587644509,0,512.9617515587297,08152019_TL47_8,0,123679,08152019_TL47_8_123679_0,4626.0,121.22214901810223,0.873888948947784,TL47,209.97767851099832,1466.9109306260575,0.7990518222288895,gal10,08152019
27,0.2826664833380489,0.00446212847552382,0,593.004615735965,08152019_TL47_8,27,131729,08152019_TL47_8_131729_0,5186.0,138.49446518733865,0.8754729994055517,TL47,447.9602353561078,1562.0331606217615,0.8447613509118478,gal10,08152019
28,0.2769172361401204,0.004540353272832449,0,479.80584815848687,08152019_TL47_8,28,133620,08152019_TL47_8_133620_0,5108.0,114.0146458286882,0.8731399497931284,TL47,842.9888133140378,1583.9336903039073,0.6443420790742169,gal10,08152019
28,0.2793741205940197,0.006326177932063595,0,266.997025664112,08152019_TL47_8,28,134036,08152019_TL47_8_134036_0,3852.0,62.19769732097897,0.8758123244808058,TL47,843.9085743264328,1589.018750650161,0.6134172874390854,gal10,08152019
29,0.2973082416670546,0.004061153620322553,0,607.7668043493505,08152019_TL47_8,29,134428,08152019_TL47_8_134428_0,5633.0,136.21694972864134,0.8808365349855043,TL47,326.00373592601267,1593.9466916490055,0.9099466425586522,gal10,08152019
30,0.3156258481561621,0.003783529298068229,0,734.3737498254399,08152019_TL47_8,30,135881,08152019_TL47_8_135881_0,5998.0,171.5357984501774,0.8754535628120463,TL47,1361.944687127702,1611.0074790567498,0.8533880433473,gal10,08152019
31,0.32248130621389953,0.004867453441190126,0,497.3628537600605,08152019_TL47_8,31,136505,08152019_TL47_8_136505_0,4809.0,112.92102178983204,0.8791817125067978,TL47,212.05356806299167,1619.0680036577621,0.9222132826789596,gal10,08152019
32,0.2932229537383973,0.004117440055410176,0,621.7929666254743,08152019_TL47_8,32,142290,08152019_TL47_8_142290_0,5565.0,142.4419271942576,0.8780190406835975,TL47,1480.043133050805,1687.0544621071265,0.9182386502864476,gal10,08152019
34,0.2776438151302507,0.0026255025607428224,0,970.4611411468962,08152019_TL47_8,34,163681,08152019_TL47_8_163681_0,8353.0,227.525877417268,0.8749563981623711,TL47,1507.0732170646634,1939.95978177265,0.8827140697528618,gal10,08152019
1,0.2287688650535821,0.005488133596849279,0,366.0012020115543,08152019_TL47_19,1,13248,08152019_TL47_19_13248_0,3821.0,83.16403904933631,0.8790771273532125,TL47,1170.9969326463831,159.0209331932091,0.8129143505623385,gal10,08152019
