mov_name,date,strain,num_spots,frac_cells
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,1,0.9451219512195121
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,2,0.054878048780487805
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,1,0.9493670886075949
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,2,0.05063291139240506
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,8,0.0
