time_postinduction,mov_name,strain,no_TS,no_cells,frac_active,thresh,rep,date,CTDr
34.416666666666664,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_6,yQC23,68,125,0.544,4,6.0,05222019,12
34.416666666666664,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_6,yQC62,19,117,0.1623931623931624,4,6.0,05222019,10
34.583333333333336,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_6,yQC23,122,219,0.5570776255707762,4,6.0,03052019,12
34.65,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_4,yQC26,29,79,0.3670886075949367,4,4.0,03062019,101
34.68333333333334,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_7,yQC26,41,89,0.4606741573033708,4,7.0,05222019,101
34.7,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_72,yQC21,184,228,0.8070175438596491,4,7.5,03052019,26
34.81666666666666,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_5,yQC62,15,67,0.22388059701492538,4,5.0,03132019,10
34.98333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_7,yQC63,10,125,0.08,4,7.0,05222019,9
35.05,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_7,yQC22,20,107,0.18691588785046728,4,7.0,05222019,14
35.266666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_7,yQC62,15,101,0.1485148514851485,4,7.0,05222019,10
35.3,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_8,yQC21,61,104,0.5865384615384616,4,8.0,05232019,26
35.333333333333336,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_7,yQC23,71,133,0.5338345864661654,4,7.0,05222019,12
35.35,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_8,yQC26,56,113,0.49557522123893805,4,8.0,05222019,101
35.38333333333333,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_5,yQC63,18,94,0.19148936170212766,4,5.0,03272019,9
35.61666666666667,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_7,yQC23,146,229,0.6375545851528385,4,7.0,03052019,12
35.766666666666666,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_5,yQC22,134,199,0.6733668341708543,4,5.0,03052019,14
35.766666666666666,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_8,yQC22,32,80,0.4,4,8.0,05222019,14
35.88333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_8,yQC63,10,111,0.09009009009009009,4,8.0,05222019,9
36.016666666666666,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_9,yQC21,53,76,0.6973684210526315,4,9.0,05232019,26
36.03333333333333,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_6,yQC62,18,81,0.2222222222222222,4,6.0,03132019,10
36.03333333333333,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_8,yQC62,17,104,0.16346153846153846,4,8.0,05222019,10
36.11666666666667,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_9,yQC26,54,96,0.5625,4,9.0,05222019,101
36.15,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_8,yQC23,49,108,0.4537037037037037,4,8.0,05222019,12
36.316666666666656,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_5,yQC26,24,54,0.4444444444444444,4,5.0,03062019,101
36.48333333333333,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7,yQC21,183,229,0.7991266375545851,4,7.0,03052019,26
36.53333333333333,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_8,yQC23,121,180,0.6722222222222223,4,8.0,03052019,12
36.566666666666656,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_6,yQC63,16,98,0.16326530612244897,4,6.0,03272019,9
36.566666666666656,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_9,yQC22,30,99,0.30303030303030304,4,9.0,05222019,14
36.63333333333333,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_6,yQC22,144,205,0.7024390243902439,4,6.0,03052019,14
36.63333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_9,yQC63,6,133,0.045112781954887216,4,9.0,05222019,9
36.8,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_10,yQC21,85,123,0.6910569105691057,4,10.0,05232019,26
