strain,time,spot
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC23,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
yQC21,0.0,1.0
