acc,pi,arom,instab,net_charge,gravy
PP7435_Chr3-0638,4.86773681640625,0.12396694214876033,137.44214876033084,-3.0,-1.2078512396694214
HPODL_02586,7.71771240234375,0.13989637305699482,152.96683937823855,1.0,-1.2761658031088081
YALI0_C16566g,8.62188720703125,0.1282051282051282,145.1676923076925,2.0,-0.9615384615384616
BN980_GECA06s03783g,8.61602783203125,0.13100436681222707,145.5423580786029,2.0,-1.0541484716157206
T551_01394,9.55157470703125,0.13636363636363635,149.21250000000018,7.0,-1.0147727272727267
SOCG_00001,5.23443603515625,0.14146341463414633,166.06292682926855,0.0,-1.0760975609756103
JL09_g1011,5.09661865234375,0.0797153024911032,44.071316725978924,-49.0,-0.36405693950177725
AMAG_07841,7.67779541015625,0.13011152416356878,123.61635687732375,1.0,-0.866171003717472
G7K_1003-t1,8.38983154296875,0.13963963963963963,128.28468468468492,2.0,-0.7463963963963962
BATDEDRAFT_86817,6.45489501953125,0.13502109704641352,146.08734177215214,0.0,-1.0607594936708868
CYLTODRAFT_424359,9.60064697265625,0.12809917355371903,128.13264462809934,7.0,-0.9433884297520658
WG66_15923,9.61712646484375,0.125,150.25455000000028,6.0,-0.9294999999999998
BOTBODRAFT_29699,9.82635498046875,0.11377245508982037,120.83353293413184,8.0,-1.0556886227544906
DICSQDRAFT_66181,9.79058837890625,0.10897435897435898,133.022435897436,6.0,-1.1019230769230763
K443DRAFT_680910,9.45599365234375,0.1038961038961039,159.6623376623377,3.0,-1.0363636363636362
M404DRAFT_1002827,9.73101806640625,0.12626262626262627,141.4146969696972,8.0,-0.9393939393939391
CERSUDRAFT_110068,9.92425537109375,0.11392405063291139,149.15765822784832,7.0,-1.077848101265822
PILCRDRAFT_821148,9.61419677734375,0.11042944785276074,142.83687116564437,7.0,-0.9883435582822082
J056_001306,9.42022705078125,0.12359550561797752,140.11123595505643,6.0,-0.8516853932584264
PHACADRAFT_246551,9.81854248046875,0.11801242236024845,152.76900621118034,7.0,-1.0136645962732915
LCOR_02137.1,5.47747802734375,0.1357142857142857,137.03214285714307,-1.0,-1.0364285714285726
MELLADRAFT_50989,10.28289794921875,0.11170212765957446,129.06436170212788,9.0,-0.6414893617021274
CY34DRAFT_803352,9.71649169921875,0.12307692307692308,144.5733846153848,8.0,-0.9076923076923072
GALMADRAFT_256512,9.73333740234375,0.12077294685990339,141.6884057971017,7.0,-0.83671497584541
Hypma_12629,9.84722900390625,0.11029411764705882,109.56290441176496,12.0,-0.4889705882352935
PAXRUDRAFT_827746,9.73638916015625,0.12626262626262627,136.04803030303054,7.0,-0.8909090909090902
CEP17467,8.82012939453125,0.14218009478672985,153.92464454976326,3.0,-1.0995260663507114
AGABI1DRAFT_65857,9.74945068359375,0.1099476439790576,108.2974869109948,9.0,-0.3350785340314133
SERLA73DRAFT_98944,9.86871337890625,0.1168831168831169,150.28967532467547,7.0,-1.061688311688311
J132_07735,9.66632080078125,0.12831858407079647,131.23721238938074,8.0,-0.7393805309734509
HMPREF1544_09517,5.87945556640625,0.1346153846153846,143.63730769230793,0.0,-1.0153846153846158
FIBSPDRAFT_777440,9.81890869140625,0.11538461538461539,138.7801923076924,7.0,-1.0480769230769222
PIIN_01555,9.86468505859375,0.12595419847328243,126.81488549618348,15.0,-1.1610687022900763
V565_054810,9.87054443359375,0.11409395973154361,117.25369127516787,7.0,-1.0463087248322145
RHTO_08014,10.11236572265625,0.12605042016806722,132.84495798319355,9.0,-0.6600840336134454
M413DRAFT_447445,9.88519287109375,0.11250000000000002,146.55693750000015,8.0,-1.056249999999999
AOL_s00080g3,8.10223388671875,0.12037037037037035,126.36388888888905,1.0,-0.8046296296296293
L228DRAFT_247644,9.07611083984375,0.1091703056768559,123.29301310043681,3.0,-0.7126637554585149
RHOSPDRAFT_32493,9.77471923828125,0.11952191235059761,128.98884462151418,7.0,-0.556573705179283
Malapachy_1226,10.03814697265625,0.10429447852760737,133.0361963190185,11.0,-1.1147239263803679
M436DRAFT_59647,9.39752197265625,0.107981220657277,131.3215962441316,6.0,-0.9755868544600939
FOMPIDRAFT_152872,9.79095458984375,0.11643835616438356,140.38294520547953,6.0,-1.0630136986301364
SCHPADRAFT_904965,9.99310302734375,0.1111111111111111,141.5679738562093,8.0,-1.0816993464052285
M407DRAFT_76306,10.06915283203125,0.11805555555555557,122.52361111111115,9.0,-1.0555555555555554
VIT_18s0001g00860,7.60308837890625,0.13548387096774195,149.14064516129056,1.0,-1.0348387096774208
Zm00001d024583,8.57611083984375,0.1320754716981132,143.16415094339655,2.0,-1.0916981132075474
Sb07g003680,5.47735595703125,0.13356164383561642,139.5743150684935,-1.0,-1.1171232876712336
MTR_5g023020,4.57574462890625,0.13513513513513511,146.71587837837876,-1.0,-1.084121621621623
PCON_08504,5.98931884765625,0.1,120.28444444444453,-1.0,-0.9272222222222221
Si013115m.g,5.47735595703125,0.13286713286713286,136.67412587412622,-1.0,-1.0993006993006997
TCM_000127,8.65155029296875,0.13043478260869565,147.2928571428574,3.0,-1.1413043478260885
Zm00001d024583,8.18621826171875,0.13333333333333333,141.20842105263193,1.0,-1.101052631578948
GLOTRDRAFT_30111,9.77850341796875,0.11235955056179775,126.28887640449443,5.0,-0.6303370786516852
DRE_07250,7.85919189453125,0.11711711711711711,122.50225225225242,1.0,-0.7959459459459455
JAAARDRAFT_197811,9.69378662109375,0.13714285714285715,98.13491428571432,5.0,-0.504
AMTR_s00001p00152770,7.61505126953125,0.13770491803278687,151.7367213114757,1.0,-1.0790163934426245
